EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
ecded4e573256021cfb43e0df14b3b31,Popayán,Colombia,Americas,NAPOLI PARTHENOPE,Italy,Europe,2020-03-19 06:06
0a2e8949136f977687592ded5802752e,Blida,Algeria,Middle East and Africa,BURSA,Turkey,Europe,2020-05-11 02:43
f89011b6bd4675bb03cfad9643246421,DUESSELDORF,Germany,Europe,VALLEDUPAR,Colombia,Americas,2020-04-15 17:16
61ad134e274d4c67c12cd94f8a1ebcaa,ECI,Colombia,Americas,SANTA MARIA,Brazil,Americas,2020-04-16 06:57
0e6e006e0694f29c0bd87fa488fa6ab3,UC (Asunción),Paraguay,Americas,UDLA,Ecuador,Americas,2020-05-14 03:32
aa2d4259c2d33b19aa7521d71020226f,Maceio,Brazil,Americas,Arequipa,Peru,Americas,2020-04-11 04:23
8df47be4591659f75067bdd9ee32d78d,IBAGUÉ,Colombia,Americas,UTP,Panama,Americas,2020-01-24 08:30
c5b0619d0ef299526f1937b4601e791d,CURITIBA,Brazil,Americas,Buenos Aires,Argentina,Americas,2020-01-26 04:54
a9213a56f61c749121bc3eda7576bbe6,Tarapoto ,Peru,Americas,SANTOS,Brazil,Americas,2020-03-31 12:53
a45df2672164646c2837934691702d26,BOLOGNA,Italy,Europe,SALVADOR,Brazil,Americas,2020-02-25 23:22
3c01393037f56205a9c97dfd5b209496,BONN,Germany,Europe,"SPUEF, Saint-Petersburg",Russia,Europe,2020-04-24 16:23
5a5b601cdc70f94ce036d805c9b2e797,La Laguna,Mexico,Americas,JYVÄSKYLÄ,Finland,Europe,2020-04-16 22:51
81c485e202da58416f36e923bc59d769,AOYAMAGAKUIN UNIVERSITY,Japan,Asia Pacific,Oulu,Finland,Europe,2020-04-01 18:14
c28ac522ab42b3a72639dd1196a5f5e9,FRANKFURT (MAIN),Germany,Europe,SALVADOR,Brazil,Americas,2020-04-15 04:01
ab057477e14973f4449f99b82b5fec5f,ULB,Belgium,Europe,Ho Chi Minh City,VIETNAM,Asia Pacific,2020-04-10 05:13
da1ba8702abdaa6c53f8a5e3c9ec182d,ESPE,Ecuador,Americas,PELOTAS,Brazil,Americas,2020-04-01 23:16
35b661e5ebf60fed5f7034ef880a4067,FTU Hanoi,VIETNAM,Asia Pacific,BRNO,Czech Republic,Europe,2020-03-02 00:55
4d2e24c1f1cfadc0c4915dad9f949b34,Université de Lomé,Togo,Middle East and Africa,Bengaluru,India,Asia Pacific,2020-02-17 12:03
89a2f4d5cf84233794ffe85a397e8a2a,Rennes,France,Europe,ITALIA,Italy,Europe,2020-05-22 15:14
dc8f6af97b3ebe7c2eae13166cdb3b6d,LEIPZIG,Germany,Europe,UCR,Costa Rica,Americas,2020-03-30 20:28
320ba1a7f9bd353daaa62bce7e2f7983,Belgrade Faculty of Economics (EF),Serbia,Europe,TRENTO,Italy,Europe,2020-03-28 18:58
a77f9b5fdfada493a60649170de01a15,IPN,Mexico,Americas,SALVADOR,Brazil,Americas,2020-04-05 00:13
5ef6119786eb7ccfcc5fc372cb3e4082,MAINZ - WIESBADEN,Germany,Europe,Podgorica,Montenegro,Europe,2020-04-28 03:12
83a2a90244dd37fc166968ebc7aa292c,AACHEN,Germany,Europe,Ho Chi Minh City,VIETNAM,Asia Pacific,2020-04-07 20:02
7a5ca58f7230e2d50725c12e20f68a6b,LEIPZIG,Germany,Europe,BUDAPEST UNIVERSITY,Hungary,Europe,2020-03-27 00:52
b4459c6cec6a7f14c8f04e92987ea7d3,HADRUMET,Tunisia,Middle East and Africa,Piraeus UNIPI (Athens),Greece,Europe,2020-04-07 20:14
94f769ff3c01792442bb0cee253dc8fa,Entre Ríos,Argentina,Americas,BLUMENAU,Brazil,Americas,2020-04-02 15:22
902ff0e737406c66c87abf13d85ddf85,SZCZECIN,Poland,Europe,FORTALEZA,Brazil,Americas,2020-04-02 22:34
b37f1325373e8d13c4ae56d3e5e2f5e9,UTRECHT,The Netherlands,Europe,VITÓRIA,Brazil,Americas,2020-03-27 00:46
a1c02e30b932230d0df4558ba510ef63,Oran,Algeria,Middle East and Africa,ISTANBUL,Turkey,Europe,2020-04-12 08:04
192fb5a741b45ff800bcc37f36acc025,The University of Georgia,Georgia,Europe,VENEZIA,Italy,Europe,2020-03-20 18:09
767a06746c4e2881ad275d47cb98cf40,El Jadida,Morocco,Middle East and Africa,ISTANBUL,Turkey,Europe,2020-04-12 08:03
3dd7f93b3cc97c9358571a16f4f5e306,ISTANBUL,Turkey,Europe,Bratislava,Slovakia,Europe,2020-02-22 14:46
e13cbd9ce88bbf1738bf384b000afc4c,PASSAU,Germany,Europe,UDLA,Ecuador,Americas,2020-04-01 02:05
c86db2a201793d9a113d06fc6f05360a,School of Commerce (SOC),Ethiopia,Middle East and Africa,GUC,Egypt,Middle East and Africa,2020-03-10 11:38
d11dd8048a7edccf73b557a0d9e5542b,UC (Asunción),Paraguay,Americas,BLUMENAU,Brazil,Americas,2020-04-02 15:13
